Narrative,Severity,Vulnerability
Hello Green Tree Servicing did not provide correct information regarding the sale of my house and is listed on my credit as a short sale and am requestion that get removed.They broke the law by mishandling the rewuest for short sale and never told me it would fall indure the short sale,3,1
"On two occasions, within a span of 2-3 days, my credit was used to try and finance a vehicle. I had no knowledge of it and did not authorize these inquiries. I contacted each one of them by phone and they refuse to help me.",4,3
"I was contacted by United Collections Bureau about a credit card debt. They did not notify me of my right to dispute. I paid the full amount they stated I owed and they have not sent me written acknowledgement that my debt has been cleared, after they stated they would.",3,2
They settled. I paid it off and received a letter that it was settled. It is still on my credit report.,2,1
"My credit report is a mixed file. It contains the address, name and credit accounts of someone in my family with the same/similar name.",4,1
I asked a credit card company for copies of my application and they were unable to provide them I presented this to Experian and asked that they remove the inaccurate information or at least request proof from the creditor They stated that they are not required to request proof and they do not require that the creditor submit proof that there word is all they need,3,2
"Calls and threatens to serve me if I do not pay up and calls family, neighbors and friends and gives them my personal info",5,2
"This company calls 4-7 times a day from different numbers. They also withdrew money from my checking account that was unauthorized and I had to dispute with my bank. The debt is mine and I owe it, but I should n't be subject to repeated phone calls and unauthorized drafts.",4,2
"Did not receive the welcome bonus after qualified spending. Last time, American Express company said will contact me separately but still have n't received anything yet. 

Moreover, it seems has linked my bank account to other person 's Social Security Number. The Fico score is too high for me!! It 's not my credit history!",4,2
They have call from different numbers repeatly and im telling them I dont have the money and they say well note the account and they say the calls well continue untill the debt is paid off,3,1
The credit bureau 's failure to provide me with information to prove that this is my account they have stated that they will no longer investigate my claims. I am requesting proof or remove the in accurate information,3,1
"I have contacted the company for a copy of my credit report both by phone and online, I still have not received it",1,1
repeated calls after being told that I was laid off from work. adding stress to my dilemma by questioning me about how I survive.,3,4
"I am getting charged for something i knew nothing about, i contacted the debt company the first time to get it removed they did and now it is back on my credit. The representative was very rude when talking to me and said there was nothing she could do to help me.",3,1
"I was charged twice, it is reflected on my bank statement, but the navient ledger only reflect one charge.",2,1
This not my debt. I 'm victim of identity theft I submitted police report to the originally creditor. Then they sold the acccount to this company.,4,2
"I contacted Equifax on fraud, they "" investigated '' and came back to say they are legitimate. Even though I uploaded the attached that clearly states they are fraud.",3,2
Choice recovery is not licenced in the state of fl. And it 's reporting on all three credit bureaus. I need for it to be removed immediately.,2,1
I sent a letter to Recovery One LLC requesting that they validate NOT verify a debt that they are attempting to collect from me. I specifically asked for a signed agreement and other supporting documentation. They have not responded to my request. I have attached supporting documentation. They have reported delinquent information to the credit bureaus that I am asking to be deleted.,2,1
