,Risk
0,2.63
1,1.92
2,3.07
3,1.84
4,3.04
5,2.69
6,2.47
7,3.49
8,3.21
9,2.72
10,2.52
11,2.2
12,2.57
13,2.57
14,2.81
15,3.23
16,2.07
17,3.15
18,2.79
19,2.88
20,2.67
21,3.74
22,3.52
23,2.87
24,3.02
25,1.85
26,3.58
27,2.14
28,2.65
29,2.47
30,2.23
31,2.91
32,2.26
33,1.6
34,3.1
35,2.58
36,2.55
37,2.41
38,2.84
39,2.17
40,2.81
41,1.76
42,3.15
43,2.68
44,2.56
45,2.38
46,3.21
47,2.66
48,2.55
49,3.2
50,2.39
51,2.16
52,2.53
53,1.99
54,3.02
55,2.49
56,2.28
57,2.99
58,2.86
59,2.58
60,3.36
61,2.03
62,2.15
63,2.96
64,3.27
65,2.65
66,2.02
67,2.15
68,2.87
69,2.42
70,2.92
71,2.46
72,2.66
73,1.59
74,1.02
75,2.87
76,2.66
77,2.73
78,2.55
79,2.61
80,2.68
81,2.17
82,2.05
83,2.79
84,2.58
85,2.47
86,3.19
87,2.72
88,1.46
89,1.4
90,3.01
91,2.88
92,2.94
93,3.03
94,3.01
95,2.15
96,1.97
97,2.52
98,2.41
99,2.53
100,2.63
101,2.28
102,2.19
103,3.36
104,2.02
105,2.29
106,2.71
107,4.14
108,2.09
109,2.0
110,2.46
111,1.96
112,3.26
113,2.77
114,3.2
115,2.57
116,4.01
117,3.85
118,2.21
119,2.42
120,2.29
121,2.37
122,2.2
123,2.47
124,2.13
125,2.4
126,2.3
127,1.46
128,2.74
129,3.59
130,2.12
131,2.63
132,2.59
133,2.97
134,2.64
135,4.37
136,3.52
137,2.11
138,2.18
139,2.11
140,3.62
141,2.38
142,2.71
143,2.55
144,2.43
145,2.92
146,1.99
147,1.92
148,2.8
149,2.85
150,2.79
151,1.18
152,2.2
153,2.73
154,2.54
155,2.16
156,1.81
157,3.09
158,2.19
159,2.16
160,3.5
161,3.19
162,2.69
163,2.45
164,2.8
165,2.97
166,2.49
167,2.68
168,3.01
169,3.19
170,4.1
171,1.45
172,2.59
173,2.24
174,2.27
175,2.69
176,2.29
177,1.9
178,3.74
179,3.34
180,1.77
181,2.39
182,2.61
183,2.22
184,2.53
185,2.01
186,2.9
187,2.19
188,2.84
189,2.32
190,2.67
191,2.47
192,2.03
193,2.18
194,3.44
195,2.87
196,3.24
197,2.12
198,2.06
199,3.32
200,2.87
201,1.77
202,3.0
203,2.23
204,3.28
205,3.14
206,2.33
207,2.8
208,1.43
209,2.57
210,1.94
211,2.21
212,2.94
213,1.69
214,2.48
215,3.5
216,3.48
217,2.92
218,3.41
219,2.77
220,3.17
221,2.23
222,2.0
223,2.35
224,2.9
225,3.04
226,3.45
227,2.79
228,2.67
229,2.22
230,3.28
231,2.58
232,1.94
233,3.68
234,2.25
235,1.85
236,2.02
237,3.57
238,2.07
239,2.56
240,2.21
241,1.83
242,3.21
243,3.05
244,3.0
245,3.1
246,2.4
247,2.12
248,2.54
249,3.28
250,2.81
251,2.16
252,1.91
253,2.43
254,2.69
255,2.01
256,3.04
257,2.57
258,2.62
259,2.42
260,3.44
261,2.89
262,2.23
263,3.02
264,1.12
265,3.04
266,2.58
267,3.65
268,3.26
269,2.38
270,2.72
271,2.75
272,2.23
273,2.58
274,2.46
275,2.25
276,3.75
277,1.72
278,3.14
279,2.3
280,2.85
281,2.41
282,2.2
283,2.33
284,1.98
285,2.46
286,2.39
287,2.54
288,2.35
289,2.26
290,3.03
291,2.62
292,1.92
293,2.53
294,3.07
295,3.31
296,3.56
297,2.99
298,2.74
299,2.46
300,3.23
301,2.45
302,2.64
303,2.72
304,2.33
305,2.77
306,2.74
307,2.71
308,2.37
309,2.14
310,2.18
311,2.77
312,3.34
313,2.23
314,2.88
315,2.75
316,2.57
317,2.43
318,2.82
319,2.14
320,3.12
321,2.32
322,1.12
323,3.19
324,3.11
325,2.07
326,1.92
327,3.64
328,2.78
329,2.64
330,2.6
331,2.32
332,2.62
333,3.16
334,2.45
335,2.04
336,2.85
337,2.43
338,1.73
339,1.6
340,2.61
341,1.24
342,2.39
343,3.23
344,2.57
345,3.44
346,1.92
347,2.53
348,2.06
349,1.77
350,1.78
351,2.3
352,1.85
353,2.24
354,1.96
355,3.09
356,3.19
357,3.01
358,1.95
359,1.83
360,2.02
361,2.29
362,2.57
363,3.23
364,2.98
365,2.64
366,2.9
367,2.52
368,3.24
369,2.62
370,2.62
371,2.74
372,3.14
373,3.66
374,2.71
375,2.28
376,2.58
377,3.34
378,3.13
379,3.1
380,2.4
381,2.54
382,0.76
383,1.66
384,3.04
385,2.59
386,2.09
387,3.77
388,2.6
389,3.9
390,2.93
391,3.23
392,2.22
393,2.35
394,2.14
395,2.66
396,2.42
397,2.04
398,2.51
399,2.19
400,2.6
401,2.16
402,2.66
403,3.18
404,1.73
405,2.4
406,2.86
407,3.34
408,2.65
409,2.77
410,3.4
411,3.48
412,2.57
413,1.68
414,2.69
415,2.0
416,2.06
417,2.88
418,2.84
419,3.34
420,1.93
421,3.0
422,2.87
423,2.43
424,1.58
425,3.48
426,2.47
427,3.28
428,1.22
429,2.78
430,2.96
431,2.32
432,3.29
433,2.75
434,2.51
435,2.73
436,3.48
437,2.94
438,2.32
439,2.91
440,2.21
441,1.98
442,2.65
443,2.03
444,3.28
445,2.47
446,2.8
447,2.43
448,2.59
449,2.45
450,2.39
451,1.71
452,2.65
453,2.54
454,3.0
455,1.82
456,2.32
457,2.98
458,2.68
459,3.25
460,3.16
461,1.45
462,2.26
463,3.07
464,2.9
465,2.11
466,2.47
467,2.58
468,3.39
469,2.36
470,2.79
471,3.25
472,2.47
473,3.27
474,2.07
475,3.24
476,2.05
477,2.5
478,2.6
479,2.33
480,2.92
481,2.25
482,3.18
483,2.44
484,2.74
485,2.83
486,2.14
487,2.14
488,2.49
489,2.17
490,2.66
491,2.1
492,3.79
493,2.29
494,2.27
495,2.74
496,2.62
497,2.17
498,3.01
499,2.3
500,3.18
501,3.06
502,1.11
503,1.83
504,2.7
505,1.79
506,2.59
507,3.28
508,2.71
509,3.35
510,2.85
511,1.9
512,2.72
513,2.23
514,2.72
515,2.64
516,2.38
517,2.89
518,2.05
519,2.29
520,2.74
521,3.09
522,3.56
523,3.0
524,2.47
525,2.88
526,2.86
527,2.02
528,2.39
529,2.02
530,3.22
531,3.14
532,2.23
533,2.95
534,3.07
535,1.53
536,3.1
537,2.58
538,2.32
539,2.85
540,3.01
541,3.25
542,2.53
543,2.73
544,2.22
545,3.21
546,1.77
547,2.8
548,2.37
549,1.9
550,3.07
551,3.15
552,2.0
553,2.99
554,2.85
555,2.29
556,1.9
557,3.38
558,2.85
559,2.99
560,2.7
561,2.87
562,3.2
563,1.88
564,2.35
565,2.85
566,2.25
567,2.54
568,3.74
569,2.41
570,1.64
571,2.3
572,2.82
573,2.53
574,2.82
575,2.62
576,2.77
577,2.86
578,2.62
579,2.0
580,2.84
581,2.39
582,3.48
583,3.18
584,2.91
585,2.81
586,2.61
587,3.11
588,2.2
589,2.76
590,2.76
591,1.99
592,1.69
593,2.63
594,2.82
595,2.98
596,2.45
597,1.84
598,3.9
599,2.69
600,2.61
601,2.59
602,2.71
603,2.75
604,2.75
605,3.33
606,3.0
607,2.81
608,2.58
609,1.57
610,2.86
611,2.09
612,2.31
613,2.84
614,2.35
615,3.23
616,3.26
617,2.09
618,2.02
619,2.86
620,3.36
621,1.99
622,2.08
623,2.96
624,2.3
625,2.15
626,2.94
627,3.21
628,1.89
629,3.21
630,2.49
631,3.77
632,3.4
633,2.54
634,2.53
635,2.67
636,2.12
637,2.49
638,3.37
639,1.97
640,1.98
641,2.75
642,2.53
643,2.15
644,3.01
645,1.65
646,2.62
647,2.81
648,2.37
649,3.01
650,3.04
651,3.15
652,2.46
653,2.88
654,3.68
655,1.56
656,2.3
657,3.07
658,1.67
659,2.37
660,2.48
661,2.53
662,2.37
663,2.56
664,2.6
665,2.43
666,2.77
667,2.86
668,2.36
669,1.89
670,2.53
671,2.79
672,4.11
673,3.06
674,3.27
