iter	RMSE
0	1.67736577
1	1.657916068
2	1.637034247
3	1.615434136
4	1.591885924
5	1.570570585
6	1.55314372
7	1.534291122
8	1.513498916
9	1.492438742
10	1.476219737
11	1.458611705
12	1.44064069
13	1.417995963
14	1.403200654
15	1.387386583
16	1.372339086
17	1.359502411
18	1.344890066
19	1.329727078
20	1.315580128
21	1.301351698
22	1.290837712
23	1.277436088
24	1.265694861
25	1.255202282
26	1.241197264
27	1.227604125
28	1.216871367
29	1.205883464
30	1.193945181
31	1.183465378
32	1.173767619
33	1.165790632
34	1.15589248
35	1.144155994
36	1.135700816
37	1.12519069
38	1.11537788
39	1.105760802
40	1.097849515
41	1.08841892
42	1.078175519
43	1.069224835
44	1.0606498
45	1.050526954
46	1.040383126
47	1.032959656
48	1.024685134
49	1.017220383
50	1.010172349
51	1.002134376
52	0.9931618024
53	0.9870415119
54	0.9803915252
55	0.973726125
56	0.9656053326
57	0.959132979
58	0.95372437
59	0.9447199504
60	0.9375802359
61	0.9305413194
62	0.9236972001
63	0.9176835968
64	0.9117018172
65	0.906056817
66	0.8998382196
67	0.8956851932
68	0.8906864323
69	0.8846812433
70	0.8783949243
71	0.8712804667
72	0.8667521369
73	0.8619653096
74	0.855569225
75	0.8519383836
76	0.845495593
77	0.8422446048
78	0.8377350355
79	0.8333678246
80	0.82736932
81	0.8212197523
82	0.816171139
83	0.8115566632
84	0.8045232344
85	0.8000122832
86	0.794525131
87	0.7892810116
88	0.7846331244
89	0.7800575653
90	0.7748839232
91	0.7708285969
92	0.7667689413
93	0.7625920601
94	0.7575752951
95	0.7535397449
96	0.7492503331
97	0.7439623376
98	0.7395258081
99	0.734862687
100	0.7296031828
101	0.7242166114
102	0.7203556157
103	0.7157604501
104	0.7116557774
105	0.7090756677
106	0.704559691
107	0.7027700157
108	0.6996955262
109	0.6948280969
110	0.6897809881
111	0.6872063127
112	0.6835562311
113	0.6789492243
114	0.6745862907
115	0.6717214855
116	0.6663952515
117	0.662385375
118	0.6594165628
119	0.6552239894
120	0.6520870888
121	0.6477918026
122	0.6439986785
123	0.6401103337
124	0.6372581707
125	0.6321145056
126	0.6293863643
127	0.6247865847
128	0.6203476234
129	0.6176613889
130	0.6140806299
131	0.6105466047
132	0.6059063435
133	0.6029224738
134	0.6000858297
135	0.5966127995
136	0.5936225151
137	0.5895004109
138	0.5863904393
139	0.5827521819
140	0.578954187
141	0.5758642382
142	0.5718855166
143	0.5680844062
144	0.5652459063
145	0.5622800522
146	0.5579985206
147	0.5547349573
148	0.5507471116
149	0.5481853711
150	0.5454193493
151	0.5417287194
152	0.5390456916
153	0.5348978482
154	0.5332122259
155	0.5298935952
156	0.5271782641
157	0.5238583869
158	0.5212293048
159	0.5189976908
