iter	Passed	Remaining
0	179	89662
1	301	74974
2	417	69100
3	533	66169
4	652	64566
5	756	62281
6	857	60390
7	971	59744
8	1100	60026
9	1215	59543
10	1334	59332
11	1455	59207
12	1562	58544
13	1684	58467
14	1850	59825
15	1987	60132
16	2125	60379
17	2274	60908
18	2412	61071
19	2587	62091
20	2770	63189
21	2991	65006
22	3174	65839
23	3310	65666
24	3460	65755
25	3591	65478
26	3723	65224
27	3879	65392
28	4018	65267
29	4110	64401
30	4196	63493
31	4273	62501
32	4347	61528
33	4420	60588
34	4499	59784
35	4578	59018
36	4663	58361
37	4742	57662
38	4821	56988
39	4901	56368
40	4980	55761
41	5068	55272
42	5143	54668
43	5221	54108
44	5299	53586
45	5381	53108
46	5453	52562
47	5543	52201
48	5651	52013
49	5752	51769
50	5874	51716
51	5981	51534
52	6076	51245
53	6161	50886
54	6357	51437
55	6705	53166
56	6832	53101
57	6941	52896
58	7056	52742
59	7188	52714
60	7285	52433
61	7371	52076
62	7458	51736
63	7562	51519
64	7690	51466
65	7811	51366
66	7908	51107
67	8000	50829
68	8090	50537
69	8172	50199
70	8271	49979
71	8371	49761
72	8468	49532
73	8609	49560
74	8780	49753
75	8890	49596
76	9024	49576
77	9132	49408
78	9217	49123
79	9301	48831
80	9384	48542
81	9470	48274
82	9562	48044
83	9703	48056
84	9860	48144
85	9977	48032
86	10092	47910
87	10234	47917
88	10352	47807
89	10469	47695
90	10596	47627
91	10732	47597
92	10870	47572
93	10991	47473
94	11154	47551
95	11286	47498
96	11458	47606
97	11644	47768
98	11805	47819
99	11972	47889
100	12149	47996
101	12365	48249
102	12507	48206
103	12658	48201
104	12812	48200
105	12973	48223
106	13156	48322
107	13330	48386
108	13444	48227
109	13634	48339
110	13825	48450
111	14026	48591
112	14205	48649
113	14366	48644
114	14625	48963
115	14769	48891
116	14900	48776
117	15061	48757
118	15176	48588
119	15325	48531
120	15551	48711
121	15813	48996
122	16026	49123
123	16320	49487
124	16569	49709
125	16824	49940
126	17169	50428
127	17343	50404
128	17607	50639
129	17756	50538
130	17881	50368
131	18002	50188
132	18146	50074
133	18256	49863
134	18367	49659
135	18504	49526
136	18660	49442
137	18785	49278
138	18883	49043
139	19019	48907
140	19153	48767
141	19270	48582
142	19380	48384
143	19583	48414
144	19763	48386
145	19951	48376
146	20304	48757
147	20426	48582
148	20634	48608
149	20792	48516
150	20931	48378
151	21072	48244
152	21185	48047
153	21349	47967
154	21489	47832
155	21664	47773
156	21778	47578
157	21929	47468
158	22035	47257
159	22213	47204
160	22366	47094
161	22515	46977
162	22646	46821
163	22760	46630
164	22912	46518
165	23050	46377
166	23159	46181
167	23254	45954
168	23366	45765
169	23461	45543
170	23569	45346
171	23685	45167
172	23778	44945
173	23884	44748
174	24001	44574
175	24091	44350
176	24201	44164
177	24310	43977
178	24408	43770
179	24565	43672
180	24683	43503
181	24796	43325
182	24946	43212
183	25134	43165
184	25295	43070
185	25423	42918
186	25608	42862
187	25809	42832
188	25948	42698
189	26107	42597
190	26231	42436
191	26355	42279
192	26477	42116
193	26631	42006
194	26764	41862
195	26905	41730
196	27012	41547
197	27138	41392
198	27260	41233
199	27361	41041
200	27478	40875
201	27577	40683
202	27694	40518
203	27809	40351
204	27945	40213
205	28084	40082
206	28216	39938
207	28340	39785
208	28480	39654
209	28621	39525
210	28733	39355
211	28853	39197
212	28976	39043
213	29102	38893
214	29254	38778
